::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient
0.037854031,0.534007485,0.037854031,0.534007485,0.037854031,0.534007485,0.037854031,0.534007485,0.037854031,0.534007485,0.037854031,0.534007485
0.038126362,0.461866871,0.038126362,0.461866871,0.038126362,0.461866871,0.038126362,0.461866871,0.038126362,0.461866871,0.038126362,0.461866871
0.038398693,0.682270678,0.038398693,0.682270678,0.038398693,0.682270678,0.038398693,0.682270678,0.038398693,0.682270678,0.038398693,0.682270678
0.038671024,0.573457673,0.038671024,0.573457673,0.038671024,0.573457673,0.038671024,0.573457673,0.038671024,0.573457673,0.038671024,0.573457673
0.038943355,0.729411121,0.038943355,0.729411121,0.038943355,0.729411121,0.038943355,0.729411121,0.038943355,0.729411121,0.038943355,0.729411121
0.039215686,0.459704842,0.039215686,0.459704842,0.039215686,0.459704842,0.039215686,0.459704842,0.039215686,0.459704842,0.039215686,0.459704842
0.039488017,0.434499415,0.039488017,0.434499415,0.039488017,0.434499415,0.039488017,0.434499415,0.039488017,0.434499415,0.039488017,0.434499415
0.039760349,0.702714167,0.039760349,0.702714167,0.039760349,0.702714167,0.039760349,0.702714167,0.039760349,0.702714167,0.039760349,0.702714167
0.04003268,0.561669141,0.04003268,0.561669141,0.04003268,0.561669141,0.04003268,0.561669141,0.04003268,0.561669141,0.04003268,0.561669141
0.040305011,0.625209532,0.040305011,0.625209532,0.040305011,0.625209532,0.040305011,0.625209532,0.040305011,0.625209532,0.040305011,0.625209532
0.040577342,0.605046559,0.040577342,0.605046559,0.040577342,0.605046559,0.040577342,0.605046559,0.040577342,0.605046559,0.040577342,0.605046559
0.040849673,0.844436538,0.040849673,0.844436538,0.040849673,0.844436538,0.040849673,0.844436538,0.040849673,0.844436538,0.040849673,0.844436538
0.041122004,0.711512805,0.041122004,0.711512805,0.041122004,0.711512805,0.041122004,0.711512805,0.041122004,0.711512805,0.041122004,0.711512805
0.041394336,0.678795011,0.041394336,0.678795011,0.041394336,0.678795011,0.041394336,0.678795011,0.041394336,0.678795011,0.041394336,0.678795011
